"PatronID","BIBID","YEAR"
"114110","1147130","2019"
"114110","1361203","2019"
"1055473","1224715","2019"
"1055473","1224712","2019"
"1059099","1278254","2019"
"1041199","1177895","2019"
"1041199","1177901","2019"
"1041356","1231412","2019"
"1057766","1358637","2019"
"1057766","1231164","2019"
"1041356","1068027","2019"
"1052373","1357674","2019"
"1052373","1190169","2019"
"1052373","1361522","2019"
"1052373","1361523","2019"
"1052373","1098708","2019"
"119136","1205643","2019"
"120174","1225522","2019"
"114110","1352895","2019"
"110005","1189226","2019"
"110005","1338473","2019"
"1057922","1140953","2019"
"118701","1313110","2019"
"1009373","1167376","2019"
"1042441","1161423","2019"
"1042441","1164319","2019"
"1042441","1164336","2019"
"1042441","1202729","2019"
"1042441","1134517","2019"
"1056469","1148475","2019"
"120181","1352671","2019"
"1042643","1335041","2019"
"1042643","1335040","2019"
"100013","1358035","2019"
"1053963","1324125","2019"
"1053963","1349319","2019"
"116719","1213457","2019"
"116719","1196913","2019"
"116719","1196913","2019"
"1042622","1195877","2019"
"1042622","1098048","2019"
"1042622","1142761","2019"
"1042622","1211396","2019"
"1053274","1288963","2019"
"1053274","1324063","2019"
"1053274","1127549","2019"
"1053274","1268418","2019"
"1053274","1130728","2019"
"108095","1240937","2019"
"1058840","1234528","2019"
"1058840","1358943","2019"
"120174","1352047","2019"
"1060464","1359093","2019"
"1052022","1233767","2019"
"1052022","1056457","2019"
"1052022","1008160","2019"
"1042809","1351838","2019"
"1042809","1302086","2019"
"1042809","1193534","2019"
"1047609","1311230","2019"
"1057267","1058819","2019"
"1052784","1354456","2019"
"1057391","1193721","2019"
"123406","1352187","2019"
"123406","1081908","2019"
"100006","1369913","2019"
"100006","1362260","2019"
"136274","1075179","2019"
"136274","1288612","2019"
"136274","1205683","2019"
"1060345","1332506","2019"
"1060345","1221452","2019"
"1055802","1361204","2019"
"1058246","1229593","2019"
"1058246","1341625","2019"
"1042613","1177073","2019"
"1042613","1352284","2019"
"1042613","1348331","2019"
"1042613","1212115","2019"
"1060345","1226359","2019"
"1062303","1311801","2019"
"1062303","1311801","2019"
"1062303","1311801","2019"
"1041223","1127178","2019"
"1041223","1335467","2019"
"112473","1081141","2019"
"1055469","1347557","2019"
"1055469","1310844","2019"
"1055469","1271139","2019"
"1049102","1332884","2019"
"100013","1369911","2019"
"1057391","1217305","2019"
"1057391","1100230","2019"
"1057391","1087283","2019"
"1054091","1183569","2019"
"141772","1351538","2019"
"141772","1032383","2019"
"141772","1166379","2019"
"141772","1353123","2019"
"126348","1239619","2019"
"1053977","1351843","2019"
"1042653","1223854","2019"
"1042653","1352862","2019"
"1046882","1333432","2019"
"1054124","1183569","2019"
"1059061","1085403","2019"
"1059061","1267730","2019"
"1057766","1158478","2019"
"1046670","1192703","2019"
"1047371","1223100","2019"
"1052689","1144597","2019"
"125690","1336472","2019"
"125690","1292924","2019"
"125690","1323292","2019"
"125690","1343769","2019"
"125690","1302628","2019"
"125690","1358983","2019"
"1035648","1167384","2019"
"1035648","1171506","2019"
"1035648","1206197","2019"
"1035648","1231154","2019"
"1030556","1240858","2019"
"1047371","1358056","2019"
"1052270","1115588","2019"
"110005","1353556","2019"
"110005","1338489","2019"
"110005","1346030","2019"
"110005","1338485","2019"
"110005","1338479","2019"
"1057763","1265924","2019"
"1046746","1350475","2019"
"1046746","1189375","2019"
"1046746","1289707","2019"
"111798","1233157","2019"
"1056469","1050215","2019"
"1034869","1167810","2019"
"1034869","1141448","2019"
"1034869","1138777","2019"
"1034869","1208447","2019"
"1048038","1207418","2019"
"1058345","1319765","2019"
"1058345","1319765","2019"
"1058345","1319765","2019"
"1060732","1259259","2019"
"1060732","1195673","2019"
"1060732","1342933","2019"
"1059304","1266682","2019"
"1059316","1255727","2019"
"1059316","1255727","2019"
"100001","1255727","2019"
"1052689","1351832","2019"
"1062001","1266682","2019"
"111798","1160397","2019"
"1059725","1255151","2019"
"1045264","1161423","2019"
"1059269","1323848","2019"
"1060456","1341372","2019"
"1060456","1209032","2019"
"1054658","1283652","2019"
"1060417","1341766","2019"
"1045307","1352307","2019"
"1045307","1351695","2019"
"1054748","1268454","2019"
"1049394","1202183","2019"
"1046823","1269777","2019"
"1055585","1283211","2019"
"1061622","1319774","2019"
"1061622","1294686","2019"
"1053912","1281032","2019"
